PacketRSSI,RSSI,SNR,Length,tx_seq,,TYPE,srcAddress,srcAddress,srcAddress,srcAddress,srcAddress,srcAddress,destAddress,destAddress,destAddress,destAddress,destAddress,destAddress,length,sequence_num,年,月,日,時,分,秒,nsec,年,月,日,時,分,秒,nsec
-93,-92,-8,30,1,,HELLO,b8,27,eb,02,75,77,ff,ff,ff,ff,ff,ff,78,1,2019,12,23,19,17,12,000079379,2019,12,23,19,17,12,059415977
-93,-92,-7,30,2,,(null),b8,27,eb,02,75,77,ff,ff,ff,ff,ff,ff,30,2,2019,12,23,19,17,14,000062148,2019,12,23,19,17,14,059334634
