tx_time,time,nsec,lora_length,,type,srcAddress,destaddr,length,seq,tx_checksum,,srcHop,destHop
2020/02/03 16:23:45,16:23:45,000650071,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,1,60325,,0,2
2020/02/03 16:23:51,16:23:51,000631982,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,2,60324,,0,2
2020/02/03 16:23:57,16:23:57,000674664,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,3,60323,,0,2
2020/02/03 16:24:03,16:24:03,000634100,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,4,60322,,0,2
2020/02/03 16:24:09,16:24:09,000625653,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,5,60321,,0,2
2020/02/03 16:24:15,16:24:15,000650782,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,6,60320,,0,2
2020/02/03 16:24:21,16:24:21,000644176,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,7,60319,,0,2
2020/02/03 16:24:27,16:24:27,000662768,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,8,60318,,0,2
2020/02/03 16:24:33,16:24:33,000636878,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,9,60317,,0,2
2020/02/03 16:24:39,16:24:39,000627086,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,10,60316,,0,2
2020/02/03 16:24:45,16:24:45,000559083,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,11,60315,,0,2
2020/02/03 16:24:51,16:24:51,000558817,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,12,60314,,0,2
2020/02/03 16:24:57,16:24:57,000559013,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,13,60313,,0,2
2020/02/03 16:25:03,16:25:03,000603801,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,14,60312,,0,2
2020/02/03 16:25:09,16:25:09,000557106,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,15,60311,,0,2
2020/02/03 16:25:15,16:25:15,000566811,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,16,60310,,0,2
2020/02/03 16:25:21,16:25:21,000560648,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,17,60309,,0,2
2020/02/03 16:25:27,16:25:27,000562700,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,18,60308,,0,2
2020/02/03 16:25:33,16:25:33,000559606,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,19,60307,,0,2
2020/02/03 16:25:39,16:25:39,000567746,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,20,60306,,0,2
2020/02/03 16:25:45,16:25:45,000560270,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,21,60049,,0,3
2020/02/03 16:25:51,16:25:51,000559917,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,22,60048,,0,3
2020/02/03 16:25:57,16:25:57,000568744,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,23,60047,,0,3
