tx_time,time,nsec,lora_length,,type,srcAddress,destaddr,length,seq,tx_checksum,,srcHop,destHop
2020/02/05 02:01:07,02:01:07,000642047,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,1,12880,,0,2
2020/02/05 02:01:13,02:01:13,000566938,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,2,12879,,0,2
2020/02/05 02:01:19,02:01:19,000559156,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,3,12878,,0,2
2020/02/05 02:01:25,02:01:25,000556357,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,4,12877,,0,2
2020/02/05 02:01:31,02:01:31,000566092,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,5,12876,,0,2
2020/02/05 02:01:37,02:01:37,000592165,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,6,12875,,0,2
2020/02/05 02:01:43,02:01:43,000609732,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,7,12874,,0,2
2020/02/05 02:01:49,02:01:49,000667907,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,8,12873,,0,2
2020/02/05 02:01:55,02:01:55,000673411,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,9,12872,,0,2
2020/02/05 02:02:01,02:02:01,000603169,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,10,12871,,0,2
2020/02/05 02:02:07,02:02:07,000559213,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,11,12870,,0,2
2020/02/05 02:02:13,02:02:13,000552950,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,12,12869,,0,2
2020/02/05 02:02:19,02:02:19,000555682,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,13,12868,,0,2
2020/02/05 02:02:25,02:02:25,000553815,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,14,12867,,0,2
2020/02/05 02:02:31,02:02:31,000556621,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,15,12866,,0,2
2020/02/05 02:02:37,02:02:37,000558214,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,16,12865,,0,2
2020/02/05 02:02:43,02:02:43,000628334,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,17,12864,,0,2
2020/02/05 02:02:49,02:02:49,000643803,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,18,12863,,0,2
2020/02/05 02:02:55,02:02:55,000656134,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,19,12862,,0,2
2020/02/05 02:03:01,02:03:01,000621784,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,20,12861,,0,2
2020/02/05 02:03:07,02:03:07,000849346,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,21,12860,,0,2
2020/02/05 02:03:13,02:03:13,000623353,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,22,12859,,0,2
2020/02/05 02:03:19,02:03:19,000561774,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,23,12858,,0,2
2020/02/05 02:03:25,02:03:25,000566900,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,24,12857,,0,2
2020/02/05 02:03:31,02:03:31,000566283,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,25,12856,,0,2
2020/02/05 02:03:37,02:03:37,000571694,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,26,12855,,0,2
2020/02/05 02:03:43,02:03:43,000578447,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,27,12854,,0,2
2020/02/05 02:03:49,02:03:49,000607947,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,28,12853,,0,2
2020/02/05 02:03:55,02:03:55,000622434,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,29,12852,,0,2
2020/02/05 02:04:01,02:04:01,000607429,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,30,12851,,0,2
2020/02/05 02:04:07,02:04:07,000746839,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,31,12850,,0,2
2020/02/05 02:04:13,02:04:13,000625039,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,32,12849,,0,2
2020/02/05 02:04:19,02:04:19,000638122,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,33,12848,,0,2
2020/02/05 02:04:25,02:04:25,000610673,200,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,200,34,12847,,0,2
