tx_time,time,nsec,lora_length,,type,srcAddress,destaddr,length,seq,tx_checksum,,srcHop,destHop
2020/02/01 20:09:20,20:09:20,000750288,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,1,60325,,0,2
2020/02/01 20:09:26,20:09:26,000635528,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,2,60324,,0,2
2020/02/01 20:09:32,20:09:32,000870971,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,3,60323,,0,2
2020/02/01 20:09:38,20:09:38,001609587,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,4,60322,,0,2
2020/02/01 20:09:44,20:09:44,000820235,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,5,60321,,0,2
2020/02/01 20:09:50,20:09:50,000612961,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,6,60320,,0,2
2020/02/01 20:09:56,20:09:56,000585735,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,7,60319,,0,2
2020/02/01 20:10:02,20:10:02,001206889,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,8,60318,,0,2
2020/02/01 20:10:08,20:10:08,001298406,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,9,60317,,0,2
2020/02/01 20:10:14,20:10:14,000650130,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,10,60316,,0,2
2020/02/01 20:10:20,20:10:20,000551484,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,11,60315,,0,2
2020/02/01 20:10:26,20:10:26,000594814,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,12,60314,,0,2
2020/02/01 20:10:32,20:10:32,000956890,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,13,60313,,0,2
2020/02/01 20:10:38,20:10:38,000930005,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,14,60312,,0,2
2020/02/01 20:10:44,20:10:44,000657389,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,15,60311,,0,2
2020/02/01 20:10:50,20:10:50,000788883,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,16,60310,,0,2
2020/02/01 20:10:56,20:10:56,000733031,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,17,60309,,0,2
2020/02/01 20:11:02,20:11:02,000678738,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,18,60308,,0,2
2020/02/01 20:11:08,20:11:08,000721473,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,19,60307,,0,2
2020/02/01 20:11:14,20:11:14,000648059,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,20,60306,,0,2
2020/02/01 20:11:20,20:11:20,000580945,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,21,60305,,0,2
2020/02/01 20:11:26,20:11:26,000555182,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,22,60304,,0,2
2020/02/01 20:11:32,20:11:32,000976967,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,23,60303,,0,2
2020/02/01 20:11:38,20:11:38,000707657,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,24,60302,,0,2
2020/02/01 20:11:44,20:11:44,001516830,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,25,60301,,0,2
2020/02/01 20:11:50,20:11:50,000599756,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,26,60300,,0,2
2020/02/01 20:11:56,20:11:56,000578979,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,27,60299,,0,2
2020/02/01 20:12:02,20:12:02,000743094,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,28,60298,,0,2
2020/02/01 20:12:08,20:12:08,001167154,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,29,60297,,0,2
2020/02/01 20:12:14,20:12:14,000648245,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,30,60296,,0,2
2020/02/01 20:12:20,20:12:20,000690790,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,31,60295,,0,2
2020/02/01 20:12:26,20:12:26,000590677,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,32,60294,,0,2
2020/02/01 20:12:32,20:12:32,000727956,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,33,60293,,0,2
2020/02/01 20:12:38,20:12:38,000796483,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,34,60292,,0,2
2020/02/01 20:12:44,20:12:44,000729279,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,35,60291,,0,2
2020/02/01 20:12:50,20:12:50,000608999,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,36,60290,,0,2
2020/02/01 20:12:56,20:12:56,000701633,100,,DATA,b8:27:eb:53:f8:14,b8:27:eb:60:f7:bf,100,37,60289,,0,2
